Código;Tipo de foco;Pais;CCAA;Provincia;Comarca Ganadera (en focos nacionales);Región (en focos extranjeros);Municipio;UVL;Enfermedad;Nº de Especies Afectadas;Serotipo;Especie;Sensibles;Afectados;Fecha de confirmación
2007/4743;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;325;13;17/10/2007
2007/4742;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;15 / 6;0;05/09/2007
2007/4741;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;444;188;14/11/2007
2007/4740;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;10 / 60;28 / 6;24/10/2007
2007/4739;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Caprinos;11;0;19/10/2007
2007/4738;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;129;38;13/11/2007
2007/4737;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;619;50;13/11/2007
2007/4736;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;51 / 9;0 / 23;13/10/2007
2007/4735;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;62;29;06/10/2007
2007/4734;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;20 / 488;0 / 104;07/09/2007
2007/4733;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;1065 / 4;0 / 33;29/10/2007
2007/4732;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;368;0;16/11/2007
2007/4731;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;7 / 83;0 / 32;19/10/2007
2007/4730;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;91;12;20/11/2007
2007/4729;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;285 / 4;0;16/11/2007
2007/4728;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;85;0;13/11/2007
2007/4727;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;2 / 71;0;13/11/2007
2007/4726;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;133 / 14;0 / 66;25/10/2007
2007/4725;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;33 / 6;0;16/10/2007
2007/4724;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;266;24;22/10/2007
2007/4723;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;109;5;23/10/2007
2007/4722;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;52;0;16/11/2007
2007/4721;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;110 / 468;0;13/11/2007
2007/4720;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;33;0;16/11/2007
2007/4719;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;37;9;13/09/2007
2007/4718;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;246;0;13/11/2007
2007/4717;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;75 / 9;0 / 29;09/09/2007
2007/4716;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;33 / 7;0 / 10;16/09/2007
2007/4715;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;51;2;12/11/2007
2007/4714;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;344;3;12/10/2007
2007/4713;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;47;22;06/09/2007
2007/4712;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;71;31;01/11/2007
2007/4711;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;320;41;14/11/2007
2007/4710;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;216;42;12/11/2007
2007/4709;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;10 / 247;0 / 116;07/11/2007
2007/4708;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;428;61;29/11/2007
2007/4707;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;10;6;23/10/2007
2007/4706;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;246 / 25;0 / 20;07/11/2007
2007/4705;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;74;0;16/11/2007
2007/4704;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;113 / 14;0;13/11/2007
2007/4703;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;103;0;16/11/2007
2007/4702;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Bovinos, Ovinos;171 / 30;0 / 66;21/10/2007
2007/4701;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;331;46;21/10/2007
2007/4700;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;312;0;16/11/2007
2007/4699;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;545;16;13/10/2007
2007/4698;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;282;0;13/11/2007
2007/4697;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;43;21;16/10/2007
2007/4696;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;277;15;09/11/2007
2007/4695;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;603;0;13/11/2007
2007/4694;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;18 / 3;0 / 10;25/10/2007
2007/4693;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;59;10;28/09/2007
2007/4692;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;72;31;14/11/2007
2007/4691;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;323;180;13/11/2007
2007/4690;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;28;14;23/10/2007
2007/4689;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;734;96;21/10/2007
2007/4688;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;73;22;19/10/2007
2007/4687;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;151;48;14/11/2007
2007/4686;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;108;0;16/11/2007
2007/4685;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;13 / 186;0 / 43;13/11/2007
2007/4684;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;3 / 66;0;13/11/2007
2007/4683;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;274;19;17/10/2007
2007/4682;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;470;19;20/10/2007
2007/4681;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;201;30;13/11/2007
2007/4680;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;17;0;16/11/2007
2007/4679;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;211;39;25/10/2007
2007/4678;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;15 / 822;0 / 630;14/11/2007
2007/4677;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;12349;46;20/10/2007
2007/4676;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;315;7;11/10/2007
2007/4675;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;2;;Caprinos, Ovinos;3 / 411;0 / 107;21/10/2007
2007/4674;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Puebla de Guzmán;Huelva;Lengua azul;1;;Ovinos;452;4;14/10/2007
2007/4673;Secundario;España;ANDALUCÍA;SEVILLA;SANLUCAR LA MAYOR (PONIENTE DE SEVILLA);;Madroño, El;Sevilla;Lengua azul;1;;Ovinos;471;1;27/09/2007
2007/4672;Secundario;España;ANDALUCÍA;SEVILLA;SANLUCAR LA MAYOR (PONIENTE DE SEVILLA);;Madroño, El;Sevilla;Lengua azul;1;;Ovinos;171;17;05/10/2007
2007/4671;Secundario;España;ANDALUCÍA;SEVILLA;SANLUCAR LA MAYOR (PONIENTE DE SEVILLA);;Madroño, El;Sevilla;Lengua azul;1;;Ovinos;15;4;09/10/2007
2007/4670;Secundario;España;ANDALUCÍA;SEVILLA;SANLUCAR LA MAYOR (PONIENTE DE SEVILLA);;Madroño, El;Sevilla;Lengua azul;1;;Ovinos;21;1;09/10/2007
2007/4669;Secundario;España;ANDALUCÍA;SEVILLA;SANLUCAR LA MAYOR (PONIENTE DE SEVILLA);;Madroño, El;Sevilla;Lengua azul;1;;Ovinos;44;4;05/10/2007
2007/4668;Secundario;España;ANDALUCÍA;MÁLAGA;RONDA (RONDA);;Genalguacil;Málaga;Lengua azul;1;;Ovinos;15;0;30/10/2007
2007/4667;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;252;46;17/09/2007
2007/4666;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;619;0;13/11/2007
2007/4665;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;7;2;24/10/2007
2007/4664;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;47;0;13/11/2007
2007/4663;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;85;0;13/11/2007
2007/4662;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;150;0;14/11/2007
2007/4661;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;308;55;26/11/2007
2007/4660;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;115;29;13/11/2007
2007/4659;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;69;12;15/11/2007
2007/4658;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;24;7;13/11/2007
2007/4657;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;108;25;16/11/2007
2007/4656;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;75;0;13/11/2007
2007/4655;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;68;13;26/11/2007
2007/4654;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;32;16;22/10/2007
2007/4653;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Caprinos;604;0;16/11/2007
2007/4652;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;47;0;13/11/2007
2007/4651;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;2;;Caprinos, Ovinos;4 / 53;0 / 14;05/11/2007
2007/4650;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;499;0;13/11/2007
2007/4649;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;638;0;13/11/2007
2007/4648;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;56;10;28/09/2007
2007/4647;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Caprinos;295;0;13/11/2007
2007/4646;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;269;158;13/11/2007
2007/4645;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;103;0;13/11/2007
2007/4644;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;34;0;13/11/2007
2007/4643;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;2063;1100;13/11/2007
2007/4642;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;2;;Caprinos, Ovinos;1 / 108;0 / 40;26/09/2007
2007/4641;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;516;0;13/11/2007
2007/4640;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;23;10;16/10/2007
2007/4639;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;9;2;16/11/2007
2007/4638;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;2;;Caprinos, Ovinos;115 / 30;0 / 97;13/11/2007
2007/4637;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;82;23;16/11/2007
2007/4636;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;341;0;14/11/2007
2007/4635;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;191;40;25/10/2007
2007/4634;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;183;0;13/11/2007
2007/4633;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;89;0;13/11/2007
2007/4632;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;235;155;13/11/2007
2007/4631;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;639;0;13/11/2007
2007/4630;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;187;0;13/11/2007
2007/4629;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;2;;Caprinos, Ovinos;268 / 9;0 / 201;16/11/2007
2007/4628;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;135;0;13/11/2007
2007/4627;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;337;0;13/11/2007
2007/4626;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;46;21;22/10/2007
2007/4625;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;346;0;13/11/2007
2007/4624;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;2;;Caprinos, Ovinos;1 / 363;0 / 171;11/09/2007
2007/4623;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;102;36;14/10/2007
2007/4622;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;296;0;13/11/2007
2007/4621;Secundario;España;ANDALUCÍA;HUELVA;PUEBLA DE GUZMAN (ANDEVALO OCCIDENTAL);;Paymogo;Huelva;Lengua azul;1;;Ovinos;681;0;13/11/2007
2007/4620;Secundario;España;ANDALUCÍA;MÁLAGA;RONDA (RONDA);;Gaucín;Málaga;Lengua azul;2;;Caprinos, Ovinos;42 / 58;0 / 4;04/10/2007
2007/4619;Secundario;España;ANDALUCÍA;HUELVA;LA PALMA DEL CONDADO (CONDADO DE HUELVA);;Paterna del Campo;Huelva;Lengua azul;1;;Ovinos;248;10;27/09/2007
2007/4618;Secundario;España;ANDALUCÍA;CÓRDOBA;LUCENA (SUBBÉTICA);;Priego de Córdoba;Córdoba;Lengua azul;1;;Bovinos;5;0;09/10/2007
2007/4617;Secundario;España;ANDALUCÍA;JAÉN;LINARES (SIERRA MORENA/CAMPIÑA JAEN);;Linares;Jaén;Lengua azul;3;;Bovinos, Caprinos, Ovinos;216 / 445 / 6;0 / 10;13/11/2007
2007/4616;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );;Pozoblanco;Córdoba;Lengua azul;1;;Ovinos;40;4;16/10/2007
2007/4615;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );;Pozoblanco;Córdoba;Lengua azul;1;;Ovinos;72;2;09/11/2007
2007/4614;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );;Pozoblanco;Córdoba;Lengua azul;1;;Ovinos;161;5;25/10/2007
2007/4613;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );;Pozoblanco;Córdoba;Lengua azul;1;;Ovinos;558;6;15/10/2007
2007/4612;Secundario;España;ANDALUCÍA;CÓRDOBA;POZOBLANCO (PEDROCHES I );;Pozoblanco;Córdoba;Lengua azul;1;;Ovinos;388;1;29/10/2007
